"Sample_name","Locus","file1","file2"
"MiFish-0321-4Pad-Up11-1","MiFish","Locus_MiFish_NGN1166_S1_L001_R1_001.fastq","Locus_MiFish_NGN1166_S1_L001_R2_001.fastq"
"MiFish-0321-4Pad-Up5-1","MiFish","Locus_MiFish_NGN1167_S2_L001_R1_001.fastq","Locus_MiFish_NGN1167_S2_L001_R2_001.fastq"
"MiFish-0421-4Pad-Up11-1","MiFish","Locus_MiFish_NGN1168_S3_L001_R1_001.fastq","Locus_MiFish_NGN1168_S3_L001_R2_001.fastq"
"MiFish-0421-4Pad-Up11-2","MiFish","Locus_MiFish_NGN1169_S4_L001_R1_001.fastq","Locus_MiFish_NGN1169_S4_L001_R2_001.fastq"
"MiFish-0421-4Pad-Up5-1","MiFish","Locus_MiFish_NGN1170_S5_L001_R1_001.fastq","Locus_MiFish_NGN1170_S5_L001_R2_001.fastq"
"MiFish-0521-4Pad-Up11-3","MiFish","Locus_MiFish_NGN1171_S6_L001_R1_001.fastq","Locus_MiFish_NGN1171_S6_L001_R2_001.fastq"
"MiFish-0621-4Pad-Up11-3","MiFish","Locus_MiFish_NGN1172_S7_L001_R1_001.fastq","Locus_MiFish_NGN1172_S7_L001_R2_001.fastq"
"MiFish-0621-5Sqm-Up-3","MiFish","Locus_MiFish_NGN1173_S8_L001_R1_001.fastq","Locus_MiFish_NGN1173_S8_L001_R2_001.fastq"
"MiFish-0621-5Sqm-Up-3-TR2","MiFish","Locus_MiFish_NGN1174_S9_L001_R1_001.fastq","Locus_MiFish_NGN1174_S9_L001_R2_001.fastq"
"MiFish-0621-5Sqm-Up-3-TR3","MiFish","Locus_MiFish_NGN1175_S10_L001_R1_001.fastq","Locus_MiFish_NGN1175_S10_L001_R2_001.fastq"
"MiFish-0721-4Pad-Dn-3","MiFish","Locus_MiFish_NGN1176_S11_L001_R1_001.fastq","Locus_MiFish_NGN1176_S11_L001_R2_001.fastq"
"MiFish-0721-4Pad-Up11-1","MiFish","Locus_MiFish_NGN1177_S12_L001_R1_001.fastq","Locus_MiFish_NGN1177_S12_L001_R2_001.fastq"
"MiFish-0721-4Pad-Up11-3","MiFish","Locus_MiFish_NGN1178_S13_L001_R1_001.fastq","Locus_MiFish_NGN1178_S13_L001_R2_001.fastq"
"MiFish-0921-1Prt-Dn-1","MiFish","Locus_MiFish_NGN1179_S14_L001_R1_001.fastq","Locus_MiFish_NGN1179_S14_L001_R2_001.fastq"
"MiFish-0921-1Prt-Dn-3","MiFish","Locus_MiFish_NGN1180_S15_L001_R1_001.fastq","Locus_MiFish_NGN1180_S15_L001_R2_001.fastq"
"MiFish-0921-2Brn-Dn-1","MiFish","Locus_MiFish_NGN1181_S16_L001_R1_001.fastq","Locus_MiFish_NGN1181_S16_L001_R2_001.fastq"
"MiFish-0921-2Brn-Dn-3","MiFish","Locus_MiFish_NGN1182_S17_L001_R1_001.fastq","Locus_MiFish_NGN1182_S17_L001_R2_001.fastq"
"MiFish-0921-2Brn-Up-1","MiFish","Locus_MiFish_NGN1183_S18_L001_R1_001.fastq","Locus_MiFish_NGN1183_S18_L001_R2_001.fastq"
"MiFish-0921-3Chk-Up-2","MiFish","Locus_MiFish_NGN1184_S19_L001_R1_001.fastq","Locus_MiFish_NGN1184_S19_L001_R2_001.fastq"
"MiFish-0921-4Pad-Dn-1","MiFish","Locus_MiFish_NGN1185_S20_L001_R1_001.fastq","Locus_MiFish_NGN1185_S20_L001_R2_001.fastq"
"MiFish-0921-4Pad-Dn-2","MiFish","Locus_MiFish_NGN1186_S21_L001_R1_001.fastq","Locus_MiFish_NGN1186_S21_L001_R2_001.fastq"
"MiFish-0921-4Pad-Dn-3","MiFish","Locus_MiFish_NGN1187_S22_L001_R1_001.fastq","Locus_MiFish_NGN1187_S22_L001_R2_001.fastq"
"MiFish-0921-4Pad-Up11-2","MiFish","Locus_MiFish_NGN1188_S23_L001_R1_001.fastq","Locus_MiFish_NGN1188_S23_L001_R2_001.fastq"
"MiFish-0921-4Pad-Up5-1","MiFish","Locus_MiFish_NGN1189_S24_L001_R1_001.fastq","Locus_MiFish_NGN1189_S24_L001_R2_001.fastq"
"MiFish-1021-3Chk-Dn-3","MiFish","Locus_MiFish_NGN1190_S25_L001_R1_001.fastq","Locus_MiFish_NGN1190_S25_L001_R2_001.fastq"
