Sample_name,Locus,Hash,nReads
MiFish-0321-4Pad-Up11-1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,6517
MiFish-0321-4Pad-Up11-1,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,9178
MiFish-0321-4Pad-Up11-1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,2779
MiFish-0321-4Pad-Up11-1,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,33316
MiFish-0321-4Pad-Up11-1,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,637
MiFish-0321-4Pad-Up11-1,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,74
MiFish-0321-4Pad-Up11-1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,901
MiFish-0321-4Pad-Up11-1,MiFish,c161735732d10ef81323d9b5812491897d2eb5ab,3
MiFish-0321-4Pad-Up11-1,MiFish,a368a2fc49d5ac24ae6017ccc8e69c4027774b1d,306
MiFish-0321-4Pad-Up5-1,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,10516
MiFish-0321-4Pad-Up5-1,MiFish,7cbe946625f416ad59615f0ddca7884268f33de2,388
MiFish-0321-4Pad-Up5-1,MiFish,e65f511d819ef32a2941c6d56d076a8616b71c25,156
MiFish-0321-4Pad-Up5-1,MiFish,563f85a803cf555efc2766463346af6986ecfdef,5
MiFish-0321-4Pad-Up5-1,MiFish,a6459c5896e84a7f8c9a59263d61ba2f8cb267ab,5
MiFish-0421-4Pad-Up11-1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,5964
MiFish-0421-4Pad-Up11-1,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,2436
MiFish-0421-4Pad-Up11-1,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1338
MiFish-0421-4Pad-Up11-1,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,7876
MiFish-0421-4Pad-Up11-1,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,9401
MiFish-0421-4Pad-Up11-1,MiFish,25e8531396b00cb9cdd8c87db81331ec1a0ee28e,284
MiFish-0421-4Pad-Up11-1,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,2120
MiFish-0421-4Pad-Up11-1,MiFish,31f58f5089fdc196a53e11198d538061dd41bb97,121
MiFish-0421-4Pad-Up11-1,MiFish,0af50c9e935876232e242db91bb835235691bf3a,200
MiFish-0421-4Pad-Up11-1,MiFish,63a7d0273f9bdd41fc062c411d5c529730a67ff1,6
MiFish-0421-4Pad-Up11-1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,169
MiFish-0421-4Pad-Up11-1,MiFish,d84391b013a0c0b0f0e588766fb6a2f47f8bc81c,21
MiFish-0421-4Pad-Up11-1,MiFish,dfe0ac8fd3470eab26d86b07b024cb7227f9a3a0,59
MiFish-0421-4Pad-Up11-2,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,5741
MiFish-0421-4Pad-Up11-2,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,3621
MiFish-0421-4Pad-Up11-2,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,10793
MiFish-0421-4Pad-Up11-2,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,424
MiFish-0421-4Pad-Up11-2,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,11931
MiFish-0421-4Pad-Up11-2,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,5674
MiFish-0421-4Pad-Up11-2,MiFish,00faf90a684f175c3b76c467573a5a84bee2005d,209
MiFish-0421-4Pad-Up11-2,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,174
MiFish-0421-4Pad-Up11-2,MiFish,c51ba26786eb5812df3c3d681e5755e302ae36ac,1086
MiFish-0421-4Pad-Up11-2,MiFish,bd2f7a173fd3c733d5234b14bff67d4c2dd58316,53
MiFish-0421-4Pad-Up11-2,MiFish,5ab7363e34022b9c219bbfbb08989805d3b41596,75
MiFish-0421-4Pad-Up11-2,MiFish,fd6a420e703d0eb111d466ecad86796eb3b94ea0,65
MiFish-0421-4Pad-Up11-2,MiFish,87e2a330f8ad945f58b4d9cb395eaded8feb55cb,10
MiFish-0421-4Pad-Up5-1,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,5771
MiFish-0421-4Pad-Up5-1,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,1175
MiFish-0421-4Pad-Up5-1,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,29619
MiFish-0421-4Pad-Up5-1,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,17318
MiFish-0421-4Pad-Up5-1,MiFish,fe72cd5c92fc95d33982bc5916c5d015404e2977,841
MiFish-0421-4Pad-Up5-1,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,9846
MiFish-0421-4Pad-Up5-1,MiFish,ca4009e9f4961a466d717e77ddddcf64a374073d,47
MiFish-0421-4Pad-Up5-1,MiFish,aa52b3479ec7e32a591fb7ddf45bab1c2ec01590,405
MiFish-0421-4Pad-Up5-1,MiFish,5d2be06aa1ff742a96eae7b10b30f83e45e7047a,129
MiFish-0421-4Pad-Up5-1,MiFish,f5b5aded2ca74ffb7f6b02448ffa90a36de662df,105
MiFish-0421-4Pad-Up5-1,MiFish,f7ca6a6a4f332fb6c24af4922bfde3075ea10317,102
MiFish-0421-4Pad-Up5-1,MiFish,880822fda234757ad52d7ea53489e5d6242e7f09,48
MiFish-0421-4Pad-Up5-1,MiFish,a6459c5896e84a7f8c9a59263d61ba2f8cb267ab,4
MiFish-0521-4Pad-Up11-3,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,3086
MiFish-0521-4Pad-Up11-3,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,3460
MiFish-0521-4Pad-Up11-3,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1490
MiFish-0521-4Pad-Up11-3,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,3618
MiFish-0521-4Pad-Up11-3,MiFish,c6d586dc78d8ef5cac238cba2d5714407775bd69,11
MiFish-0521-4Pad-Up11-3,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,591
MiFish-0521-4Pad-Up11-3,MiFish,091608e9343c9f2c79ff64e3fcfbcdfbce8653bc,126
MiFish-0521-4Pad-Up11-3,MiFish,de42666eb0e70e73c99b1061e5e4bfe4477204b5,1915
MiFish-0521-4Pad-Up11-3,MiFish,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,16
MiFish-0521-4Pad-Up11-3,MiFish,d0a9af6b25d04c17be354fc417b9bcf834cbf784,37
MiFish-0521-4Pad-Up11-3,MiFish,35f6437a0c43d0474ec794bfbbecc963a7385cce,39
MiFish-0621-4Pad-Up11-3,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,686
MiFish-0621-4Pad-Up11-3,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,998
MiFish-0621-4Pad-Up11-3,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,2479
MiFish-0621-4Pad-Up11-3,MiFish,49b916c007d3dbb75da7ceb655dd8cefb4e15ac4,2579
MiFish-0621-4Pad-Up11-3,MiFish,c6d586dc78d8ef5cac238cba2d5714407775bd69,11
MiFish-0621-4Pad-Up11-3,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,68
MiFish-0621-4Pad-Up11-3,MiFish,e330f6d1a7768b21c34c1d9d6814f5b48c87b05a,47
MiFish-0621-4Pad-Up11-3,MiFish,565e6e05e652d8b40947e7f139613ea6a19cf1b4,26
MiFish-0621-5Sqm-Up-3,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,5439
MiFish-0621-5Sqm-Up-3,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,46
MiFish-0621-5Sqm-Up-3,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,1356
MiFish-0621-5Sqm-Up-3,MiFish,c6d586dc78d8ef5cac238cba2d5714407775bd69,487
MiFish-0621-5Sqm-Up-3,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,1567
MiFish-0621-5Sqm-Up-3,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,368
MiFish-0621-5Sqm-Up-3,MiFish,d15e926efd8720231adb32a8b4e6e40608827676,8
MiFish-0621-5Sqm-Up-3,MiFish,cb0cf229832374ff8f4ce89c20348a90da9c04e1,266
MiFish-0621-5Sqm-Up-3,MiFish,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,2
MiFish-0621-5Sqm-Up-3,MiFish,d8ac82de583c9b08448db15af87e9d1d78794741,3
MiFish-0621-5Sqm-Up-3-TR2,MiFish,fd7d89190e5c165cf36284ea0fca46c98216328c,46960
MiFish-0621-5Sqm-Up-3-TR2,MiFish,a56843c86d60d4423f69f4836868d31ea7eadf22,180
MiFish-0621-5Sqm-Up-3-TR2,MiFish,02e4a86c119ca4b65e5b616135fa996aa2eb4372,10181
MiFish-0621-5Sqm-Up-3-TR2,MiFish,c6d586dc78d8ef5cac238cba2d5714407775bd69,3344
MiFish-0621-5Sqm-Up-3-TR2,MiFish,a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a,14556
MiFish-0621-5Sqm-Up-3-TR2,MiFish,94b310b913e0d26c0720e1775a3f2a7f2dd6af18,1154
MiFish-0621-5Sqm-Up-3-TR2,MiFish,d15e926efd8720231adb32a8b4e6e40608827676,613
MiFish-0621-5Sqm-Up-3-TR2,MiFish,cb0cf229832374ff8f4ce89c20348a90da9c04e1,1901
MiFish-0621-5Sqm-Up-3-TR2,MiFish,d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9,9
MiFish-0621-5Sqm-Up-3-TR2,MiFish,4b6b740f9b6d0ae003c5b1ee2bb36f4a9766dd3b,204
MiFish-0621-5Sqm-Up-3-TR2,MiFish,7cbe946625f416ad59615f0ddca7884268f33de2,93
MiFish-0621-5Sqm-Up-3-TR2,MiFish,d375db6821a4402acdeffb3d216d4abdc355cd48,8
MiFish-0621-5Sqm-Up-3-TR2,MiFish,5c024b1d5c5f25af45599d69bd92b8837b2ba62f,36
MiFish-0621-5Sqm-Up-3-TR2,MiFish,563f85a803cf555efc2766463346af6986ecfdef,2
MiFish-0621-5Sqm-Up-3-TR2,MiFish,82aa7321659751e1f8a88c5aec1b003e2940bb62,83
MiFish-0621-5Sqm-Up-3-TR2,MiFish,1d7a6d40210f5e812971d541557238cbb1a66ee0,63
